case_id,size
CP_00_07022034_00088,92
CP_00_07030652_00092,112
CP_00_07030716_00090,47
CP_00_07030927_00092,67
CP_00_07031728_00090,58
CP_00_07032017_00093,136
CP_00_07032354_00092,49
CP_00_07041112_00092,64
CP_00_07041256_00092,48
CP_00_07041347_00087,63
CP_00_07041353_00093,97
CP_00_07041942_00090,81
CP_00_07042109_00091,51
CP_00_07042233_00092,71
CP_00_07042251_00087,51
CP_00_07050030_00088,186
CP_00_07050333_00090,108
CP_00_07050520_00091,63
CP_00_07050547_00150,50
CP_00_07050704_00092,119
CP_00_07050746_00093,49
CP_00_07050912_00090,64
CP_00_07051053_00093,50
CP_00_07051144_00092,74
CP_00_07051500_00087,114
CP_00_07051624_00090,105
CP_00_07051954_00093,74
CP_00_07052012_00088,52
CP_00_07052049_00090,101
CP_00_07052056_00092,123
CP_00_07052224_00092,164
CP_00_07060156_00093,215
CP_00_07060741_00090,60
CP_00_07060745_00090,123
CP_00_07060834_00093,95
CP_00_07061135_00087,51
CP_00_07061259_00097,133
CP_00_07061404_00088,83
CP_00_07061421_00094,112
CP_00_07061928_00093,54
CP_00_07061940_00090,54
CP_00_07062230_00091,51
CP_00_07070124_00088,53
CP_00_07070336_00091,128
CP_00_07070617_00088,53
CP_00_07070706_00090,56
CP_00_07071105_00087,52
CP_00_07071332_00093,62
CP_00_07071525_00092,52
CP_00_07071607_00091,64
CP_00_07071618_00088,51
CP_00_07071730_00092,52
CP_00_07072110_00090,63
CP_00_07081236_00090,47
CP_00_07081247_00092,50
CP_00_07081748_00092,49
CP_00_07081750_00097,50
CP_00_07081927_00088,71
CP_00_07090157_00090,53
CP_00_07090504_00087,71
CP_00_07091352_00088,92
CP_00_07091425_00091,77
CP_00_07091507_00093,49
CP_00_07091813_00088,95
CP_00_07091823_00090,98
CP_00_07092339_00090,115
CP_00_07100325_00093,86
CP_00_07100542_00092,78
CP_00_07101919_00094,49
CP_00_07110514_00090,73
CP_00_07110757_00087,90
CP_00_07110817_00023,127
CP_00_07110856_00088,70
CP_00_07111251_00091,55
CP_00_07111404_00093,49
CP_00_07111803_00092,49
CP_00_07112051_00090,79
CP_00_07112350_00091,71
CP_00_07120129_00074,91
CP_00_07121304_00023,53
CP_00_07121623_00090,47
CP_00_07121636_00092,48
CP_00_07130006_00092,100
CP_00_07130145_00088,77
CP_00_07130214_00093,49
CP_00_07130505_00087,52
CP_00_07131406_00097,49
CP_00_07131616_00092,49
CP_00_07131637_00093,49
CP_00_07140550_00093,49
CP_00_07140656_00090,89
CP_00_07141603_00088,58
CP_00_07141614_00087,77
CP_00_07141853_00092,62
CP_00_07150458_00091,52
CP_00_07150614_00094,96
CP_00_07151028_00088,52
CP_00_07151316_00091,67
CP_00_07151435_00150,67
CP_00_07151635_00156,49
CP_00_07151702_00092,53
CP_00_07151824_00092,52
CP_00_07151859_00088,56
CP_00_07160320_00092,49
CP_00_07160728_00094,50
CP_00_07161314_00093,49
CP_00_07170452_00094,75
CP_00_07170502_00087,94
CP_00_07170938_00088,91
CP_00_07171113_00150,65
CP_00_07171346_00090,48
CP_00_07171741_00117,46
CP_00_07171912_00088,51
CP_00_07171949_00087,57
CP_00_07172153_00087,396
CP_00_07180028_00091,126
CP_00_07181232_00090,83
CP_00_07181532_00092,49
CP_00_07181542_00093,49
CP_00_07181940_00093,49
CP_00_07182256_00090,47
CP_00_07190109_00088,118
CP_00_07190114_00093,50
CP_00_07190249_00023,85
CP_00_07190557_00090,74
CP_00_07191255_00093,56
CP_00_07191331_00092,139
CP_00_07191426_00094,79
CP_00_07200336_00091,58
CP_00_07200449_00092,51
CP_00_07201828_00090,51
CP_00_07211602_00092,53
CP_00_07221307_00092,67
CP_00_07221529_00091,53
CP_00_07231419_00087,53
CP_00_07231744_00088,53
CP_00_07231855_00074,82
CP_00_07241243_00090,87
CP_00_07241328_00023,53
CP_00_07241511_00074,72
CP_00_07251146_00023,62
CP_00_07251151_00091,124
CP_00_07251600_00090,48
CP_00_07261027_00094,49
CP_00_07261147_00092,129
CP_00_07261625_00088,118
CP_00_07261714_00093,78
CP_00_07261759_00092,79
CP_00_07261803_00087,110
CP_00_07262355_00091,64
CP_00_07270135_00090,48
CP_00_07270242_00088,52
CP_00_07270433_00087,67
CP_00_07271200_00087,51
