case_id,min,max,length,unnormal_indices
CP_00_06190802_00092,0.0,185.0,132,
CP_00_06190806_00092,0.0,137.0,62,
CP_00_06190823_00093,0.0,131.0,49,
CP_00_06191546_00092,0.0,225.0,74,
CP_00_06200021_00092,0.0,152.0,124,
CP_00_06200035_00093,0.0,140.0,54,
CP_00_06200036_00092,0.0,137.0,54,
CP_00_06200243_00093,0.0,294.0,147,
CP_00_06200243_00097,0.0,98.0,49,
CP_00_06200348_00087,0.0,96.0,52,
CP_00_06200537_00097,0.0,274.0,148,
CP_00_06200650_00093,0.0,116.0,54,
CP_00_06200818_00077,0.0,116.0,101,
CP_00_06200852_00097,0.0,105.0,50,
CP_00_06200941_00092,0.0,111.0,48,
CP_00_06201042_00090,0.0,95.0,48,
CP_00_06201308_00087,0.0,239.0,52,
CP_00_06201653_00088,0.0,190.0,52,
CP_00_06202032_00090,0.0,203.0,70,
CP_00_06202256_00092,0.0,206.0,133,
CP_00_06210035_00087,0.0,152.0,58,
CP_00_06210116_00093,0.0,194.0,72,
CP_00_06210203_00091,0.0,199.0,52,
CP_00_06210540_00077,0.0,115.0,51,
CP_00_06210813_00093,0.0,90.0,49,
CP_00_06211626_00090,0.0,181.0,59,
CP_00_06211933_00093,0.0,174.0,49,
CP_00_06212306_00092,0.0,130.0,53,
CP_00_06220402_00090,0.0,181.0,58,
CP_00_06220629_00087,0.0,125.0,52,
CP_00_06220905_00094,0.0,79.0,49,
CP_00_06220909_00087,0.0,97.0,51,
CP_00_06221204_00093,0.0,192.0,93,
CP_00_06221221_00090,0.0,167.0,61,
CP_00_06221749_00087,0.0,96.0,52,
CP_00_06222058_00090,0.0,160.0,73,
CP_00_06230417_00088,0.0,109.0,51,
CP_00_06230610_00094,0.0,150.0,49,
CP_00_06230938_00092,0.0,208.0,90,
CP_00_06231755_00091,0.0,214.0,70,
CP_00_06240014_00090,0.0,119.0,79,
CP_00_06240111_00092,0.0,141.0,105,
CP_00_06240128_00150,0.0,378.0,229,
CP_00_06241536_00092,0.0,156.0,48,
CP_00_06250514_00092,0.0,73.0,48,
CP_00_06250820_00092,0.0,158.0,50,
CP_00_06251652_00090,0.0,156.0,49,
CP_00_06261453_00093,0.0,160.0,49,
CP_00_06261522_00094,0.0,178.0,50,
CP_00_06261649_00092,0.0,173.0,53,
CP_00_06261750_00091,0.0,169.0,51,
CP_00_06271700_00088,0.0,240.0,330,
CP_00_06271821_00087,0.0,212.0,70,
CP_00_06271917_00088,0.0,206.0,66,
CP_00_06280012_00092,0.0,135.0,88,
CP_00_06280032_00093,0.0,150.0,183,
CP_00_06280243_00088,0.0,167.0,73,
CP_00_06280411_00023,0.0,242.0,110,
CP_00_06280527_00090,0.0,128.0,66,
CP_00_06280633_00150,0.0,106.0,64,
CP_00_06280928_00092,0.0,145.0,127,
CP_00_06281558_00091,0.0,240.0,76,
CP_00_06281716_00097,0.0,155.0,49,
CP_00_06282055_00093,0.0,215.0,49,
CP_00_06282343_00023,0.0,192.0,78,
CP_00_06290026_00092,0.0,151.0,115,
CP_00_06290756_00093,0.0,246.0,51,
CP_00_06290841_00092,0.0,246.0,70,
CP_00_06291017_00150,0.0,164.0,50,
CP_00_06291602_00087,0.0,150.0,52,
CP_00_06291610_00094,0.0,113.0,49,
CP_00_06291743_00092,0.0,113.0,52,
CP_00_06300207_00150,0.0,227.0,111,
CP_00_06300228_00090,0.0,210.0,48,
CP_00_06300338_00092,0.0,110.0,70,
CP_00_06300426_00092,0.0,182.0,48,
CP_00_06300907_00090,0.0,230.0,87,
CP_00_06301210_00093,0.0,187.0,49,
