case_id,min,max,length,unnormal_indices
CP_00_06150544_00023,-28665.0,645.0,101,
CP_00_06151015_00092,-300.0,580.0,63,
CP_00_06151214_00090,-28665.0,645.0,172,
CP_00_06160439_00091,-28665.0,575.0,99,
CP_00_06162054_00091,-28665.0,545.0,55,
CP_00_06162321_00074,-28580.0,700.0,51,
CP_00_06170124_00038,-28665.0,550.0,49,
CP_00_06170448_00074,-28660.0,690.0,52,
CP_00_06171038_00074,-28665.0,710.0,62,
CP_00_06171510_00087,-28665.0,650.0,52,
CP_00_06180247_00090,-28665.0,610.0,57,
CP_00_06180422_00093,-28660.0,520.0,49,
CP_00_06181045_00150,-28665.0,450.0,50,
CP_00_06190009_00150,-300.0,650.0,243,
CP_00_06190247_00090,-290.0,670.0,92,
CP_00_06190726_00090,-28665.0,590.0,46,
CP_00_06190802_00092,-290.0,640.0,132,
CP_00_06190806_00092,-28665.0,590.0,62,
CP_00_06190823_00093,-28665.0,525.0,49,
CP_00_06191546_00092,-300.0,600.0,74,
CP_00_06200021_00092,-300.0,570.0,124,
CP_00_06200035_00093,-300.0,550.0,54,
CP_00_06200036_00092,-300.0,620.0,54,
CP_00_06200243_00093,-300.0,580.0,147,
CP_00_06200243_00097,-300.0,650.0,49,
CP_00_06200348_00087,-28665.0,560.0,52,
CP_00_06200537_00097,-300.0,630.0,148,
CP_00_06200650_00093,-28665.0,550.0,54,
CP_00_06200818_00077,-28665.0,575.0,101,
CP_00_06200852_00097,-28665.0,655.0,50,
CP_00_06200941_00092,-28665.0,525.0,48,
CP_00_06201042_00090,-300.0,700.0,48,
CP_00_06201308_00087,-260.0,630.0,52,
CP_00_06201653_00088,-230.0,690.0,52,
CP_00_06202032_00090,-28665.0,645.0,70,
CP_00_06202256_00092,-28665.0,595.0,133,
CP_00_06210035_00087,-28665.0,595.0,58,
CP_00_06210116_00093,-28665.0,570.0,72,
CP_00_06210203_00091,-240.0,550.0,52,
CP_00_06210540_00077,-28665.0,515.0,51,
CP_00_06210813_00093,-28665.0,570.0,49,
CP_00_06211626_00090,-290.0,670.0,59,
CP_00_06211933_00093,-300.0,630.0,49,
CP_00_06212306_00092,-28665.0,585.0,53,
CP_00_06220402_00090,-28665.0,565.0,58,
CP_00_06220629_00087,-28665.0,620.0,52,
CP_00_06220905_00094,-28665.0,605.0,49,
CP_00_06220909_00087,-240.0,660.0,51,
CP_00_06221204_00093,-300.0,590.0,93,
CP_00_06221221_00090,-300.0,630.0,61,
CP_00_06221749_00087,-28505.0,610.0,52,
CP_00_06222058_00090,-28665.0,655.0,73,
CP_00_06230417_00088,-28665.0,580.0,51,
CP_00_06230610_00094,-28665.0,675.0,49,
CP_00_06230938_00092,-300.0,600.0,90,
CP_00_06231755_00091,-240.0,640.0,70,
CP_00_06240014_00090,-300.0,560.0,79,
CP_00_06240111_00092,-300.0,580.0,105,
CP_00_06240128_00150,-300.0,530.0,229,
CP_00_06241536_00092,-300.0,640.0,48,
CP_00_06250514_00092,-28665.0,565.0,48,
CP_00_06250820_00092,-28665.0,760.0,50,
CP_00_06251652_00090,-300.0,590.0,49,
CP_00_06261453_00093,-300.0,580.0,49,
CP_00_06261522_00094,-28665.0,610.0,50,
CP_00_06261649_00092,-28665.0,595.0,53,
CP_00_06261750_00091,-190.0,640.0,51,
CP_00_06271700_00088,-300.0,710.0,330,
CP_00_06271821_00087,-28665.0,620.0,70,
CP_00_06271917_00088,-28665.0,660.0,66,
CP_00_06280012_00092,-300.0,590.0,88,
CP_00_06280032_00093,-300.0,680.0,183,
CP_00_06280243_00088,-28665.0,675.0,73,
CP_00_06280411_00023,-28665.0,660.0,110,
CP_00_06280527_00090,-200.0,660.0,66,
CP_00_06280633_00150,-290.0,550.0,64,
CP_00_06280928_00092,-300.0,690.0,127,
CP_00_06281558_00091,-210.0,670.0,76,
CP_00_06281716_00097,-28665.0,640.0,49,
CP_00_06282055_00093,-300.0,620.0,49,
CP_00_06282343_00023,-28665.0,660.0,78,
CP_00_06290026_00092,-300.0,630.0,115,
